audit_merkle_root_hash_calls,audit_merkle_verify_calls,audit_mode,audit_user_table_seq_scan_delta,audit_validation_ms,audit_validation_positive,audit_validation_skipped,bad_leaf_count,bad_partition_count,batch_plan_actual_k_index_used,candidate_fetch_batches,candidate_fetch_sql_calls,candidate_leaf_buckets_requested,candidate_rows_fetched,candidate_rows_fetched_alias,child_hash_nodes_read,child_hash_sql_calls,cleanup_ms,confirmation_fetch_batches,confirmation_fetch_sql_calls,confirmation_leaf_buckets_requested,confirmation_rows_fetched,corrupted_tuple_count,corruption_mode,damaged_candidate_rows,end_to_end_covers_paper_and_audit,end_to_end_observed_ms,experiment,fanout,full_audit_skipped,healthy_candidate_rows,leaf_fetch_chunk_size,leaf_lookup_sql_calls,leaf_nodes_found,localisation_index_stats_available,localisation_index_stats_error,localisation_stats_flush_wait_ms,localisation_stats_probe_ms,manifest_sha256,mean_rows_per_bad_leaf,merge_threshold,method,p95_rows_per_bad_leaf,paper_end_before_audit_start,paper_style_total_ms,paper_total_ms,partition_root_batches,partition_root_batches_ok,partition_root_hash_sql_calls,partition_root_nodes_read,partition_subtree_nodes_read,partition_subtree_sql_calls,planner_checked_leaf_count,planner_checks_passed,profile_label,profiling_mode,recovery_only_ms,recovery_user_table_seq_scan_delta,repetition,restore_repair_ms,rows_deleted,rows_inserted,rows_updated,run_id,schema_fidelity_ok,selected_bad_leaf_row_capacity,split_threshold,targeted_confirmation_root_batches,targeted_confirmation_root_nodes_read,total_candidate_rows,total_ms,total_rows_repaired,tree_nodes_visited,tuple_count,valid,warning
0,0,skip,0,0.0,0,1,75,61,1,4,4,150,3442,3442,9024,6,3.073,0,0,0,0,300,mixed,1721,1,185.954,size-scaling-k75-c300,32,1,1721,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,6a8656a97e60ae7f575931a7268423ac57a8dbb9109ffca0c01cc1be9b5b710d,45.89333333333333,8,merkle,62.0,1,182.314,182.314,1,1,2,400,9024,6,75,1,fanout_f32_l16,off,182.314,0,0,182.314,100,100,100,size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r0,1,1721,32,1,122,3442,185.954,300,4512,5000000,1,
0,0,skip,0,0.0,0,1,75,61,1,4,4,150,3442,3442,9024,6,3.061,0,0,0,0,300,mixed,1721,1,205.251,size-scaling-k75-c300,32,1,1721,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,6a8656a97e60ae7f575931a7268423ac57a8dbb9109ffca0c01cc1be9b5b710d,45.89333333333333,8,merkle,62.0,1,191.465,191.465,1,1,2,400,9024,6,75,1,fanout_f32_l16,off,191.465,0,1,191.465,100,100,100,size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r1,1,1721,32,1,122,3442,205.251,300,4512,5000000,1,
0,0,skip,0,0.0,0,1,75,61,1,4,4,150,3442,3442,9024,6,3.035,0,0,0,0,300,mixed,1721,1,196.660,size-scaling-k75-c300,32,1,1721,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,6a8656a97e60ae7f575931a7268423ac57a8dbb9109ffca0c01cc1be9b5b710d,45.89333333333333,8,merkle,62.0,1,193.045,193.045,1,1,2,400,9024,6,75,1,fanout_f32_l16,off,193.045,0,2,193.045,100,100,100,size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r2,1,1721,32,1,122,3442,196.660,300,4512,5000000,1,
0,0,skip,0,0.0,0,1,75,61,1,4,4,150,3442,3442,9024,6,3.056,0,0,0,0,300,mixed,1721,1,215.207,size-scaling-k75-c300,32,1,1721,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,6a8656a97e60ae7f575931a7268423ac57a8dbb9109ffca0c01cc1be9b5b710d,45.89333333333333,8,merkle,62.0,1,201.415,201.415,1,1,2,400,9024,6,75,1,fanout_f32_l16,off,201.415,0,3,201.415,100,100,100,size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r3,1,1721,32,1,122,3442,215.207,300,4512,5000000,1,
0,0,skip,0,0.0,0,1,75,61,1,4,4,150,3442,3442,9024,6,3.001,0,0,0,0,300,mixed,1721,1,196.404,size-scaling-k75-c300,32,1,1721,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,6a8656a97e60ae7f575931a7268423ac57a8dbb9109ffca0c01cc1be9b5b710d,45.89333333333333,8,merkle,62.0,1,192.853,192.853,1,1,2,400,9024,6,75,1,fanout_f32_l16,off,192.853,0,4,192.853,100,100,100,size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r4,1,1721,32,1,122,3442,196.404,300,4512,5000000,1,
0,0,skip,0,0.0,0,1,75,61,1,4,4,150,3442,3442,9024,6,3.121,0,0,0,0,300,mixed,1721,1,204.387,size-scaling-k75-c300,32,1,1721,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,6a8656a97e60ae7f575931a7268423ac57a8dbb9109ffca0c01cc1be9b5b710d,45.89333333333333,8,merkle,62.0,1,190.491,190.491,1,1,2,400,9024,6,75,1,fanout_f32_l16,off,190.491,0,5,190.491,100,100,100,size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r5,1,1721,32,1,122,3442,204.387,300,4512,5000000,1,
0,0,skip,0,0.0,0,1,75,61,1,4,4,150,3442,3442,9024,6,3.030,0,0,0,0,300,mixed,1721,1,195.658,size-scaling-k75-c300,32,1,1721,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,6a8656a97e60ae7f575931a7268423ac57a8dbb9109ffca0c01cc1be9b5b710d,45.89333333333333,8,merkle,62.0,1,192.080,192.080,1,1,2,400,9024,6,75,1,fanout_f32_l16,off,192.080,0,6,192.080,100,100,100,size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r6,1,1721,32,1,122,3442,195.658,300,4512,5000000,1,
0,0,skip,0,0.0,0,1,75,61,1,4,4,150,3442,3442,9024,6,3.056,0,0,0,0,300,mixed,1721,1,207.783,size-scaling-k75-c300,32,1,1721,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,6a8656a97e60ae7f575931a7268423ac57a8dbb9109ffca0c01cc1be9b5b710d,45.89333333333333,8,merkle,62.0,1,194.013,194.013,1,1,2,400,9024,6,75,1,fanout_f32_l16,off,194.013,0,7,194.013,100,100,100,size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r7,1,1721,32,1,122,3442,207.783,300,4512,5000000,1,
0,0,skip,0,0.0,0,1,75,61,1,4,4,150,3442,3442,9024,6,3.027,0,0,0,0,300,mixed,1721,1,201.947,size-scaling-k75-c300,32,1,1721,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,6a8656a97e60ae7f575931a7268423ac57a8dbb9109ffca0c01cc1be9b5b710d,45.89333333333333,8,merkle,62.0,1,198.368,198.368,1,1,2,400,9024,6,75,1,fanout_f32_l16,off,198.368,0,8,198.368,100,100,100,size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r8,1,1721,32,1,122,3442,201.947,300,4512,5000000,1,
0,0,skip,0,0.0,0,1,75,61,1,4,4,150,3442,3442,9024,6,3.007,0,0,0,0,300,mixed,1721,1,195.652,size-scaling-k75-c300,32,1,1721,64,4,75,0,"only '%s', '%b', '%t' are allowed as placeholders, got '%''",0.0,0.0,6a8656a97e60ae7f575931a7268423ac57a8dbb9109ffca0c01cc1be9b5b710d,45.89333333333333,8,merkle,62.0,1,181.956,181.956,1,1,2,400,9024,6,75,1,fanout_f32_l16,off,181.956,0,9,181.956,100,100,100,size-scaling-k75-c300-n5000000-f32-k75-c300-fanout_f32_l16-merkle-r9,1,1721,32,1,122,3442,195.652,300,4512,5000000,1,
