run_id,method,paper_style_total_ms,restore_repair_ms,audit_validation_ms,end_to_end_observed_ms,cleanup_ms,paper_end_before_audit_start,audit_validation_positive,end_to_end_covers_paper_and_audit,full_audit_skipped,audit_validation_skipped
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,242.667,242.667,132445.254,134368.271,0.162,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,229.973,229.973,133605.117,135565.996,0.147,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,232.987,232.987,132557.312,134471.161,0.146,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,231.727,231.727,132667.180,134630.509,0.146,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,248.647,248.647,132338.155,134267.345,0.145,1,1,1,0,0
size-scaling-k75-c300-n20000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,230.208,230.208,132445.456,134407.134,0.147,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,242.961,242.961,165117.453,167041.480,0.148,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,237.403,237.403,165173.926,167092.513,0.145,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,237.645,237.645,165303.098,167222.187,0.147,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,236.660,236.660,165228.399,167146.621,0.146,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,241.681,241.681,165664.183,167587.553,0.146,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,228.503,228.503,165668.226,167628.662,0.144,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,238.340,238.340,165837.941,167757.041,0.147,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,239.887,239.887,172407.755,174330.198,0.143,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,254.152,254.152,165879.651,167816.697,0.147,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,240.124,240.124,165447.972,167369.388,0.145,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,195.808,195.808,21671.368,23600.444,0.152,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,189.605,189.605,21712.720,23686.951,0.150,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,192.178,192.178,21674.790,23650.620,0.150,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,195.917,195.917,21694.600,23624.575,0.149,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,189.388,189.388,21697.092,23670.024,0.149,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,202.443,202.443,21700.162,23686.757,0.153,1,1,1,0,0
