run_id,manifest_sha256,method,phase,ms
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_write_ms,27.260
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,targeted_post_repair_confirmation_ms,3.526
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,recovery_orchestration_ms,1.531
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_exact_table_compare_ms,35624.303
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_merkle_root_hash_ms,1.286
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_merkle_verify_ms,30451.297
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_schema_fidelity_ms,2.187
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r3,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,merkle_total_ms,69047.624
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,tree_localisation_ms,185.282
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,candidate_row_fetch_ms,16.894
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,row_comparison_ms,0.533
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_sql_building_ms,0.547
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_dml_wire_ms,17.592
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_commit_wire_ms,8.915
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_begin_wire_ms,0.132
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_transaction_block_ms,27.241
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,repair_write_ms,27.245
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,targeted_post_repair_confirmation_ms,3.529
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,recovery_orchestration_ms,1.367
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_exact_table_compare_ms,35357.702
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,8b0120eec21a7c8d83cff4cc843a71516a87ebaaa3637375b282186bb7e78811,merkle,audit_merkle_root_hash_ms,1.289
