run_id,method,paper_style_total_ms,restore_repair_ms,audit_validation_ms,end_to_end_observed_ms,cleanup_ms,paper_end_before_audit_start,audit_validation_positive,end_to_end_covers_paper_and_audit,full_audit_skipped,audit_validation_skipped
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,235.868,235.868,165008.395,166925.407,0.146,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,258.295,258.295,165084.209,167023.587,0.148,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,235.278,235.278,164848.759,166764.803,0.145,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,236.959,236.959,164718.941,166637.390,0.199,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,236.947,236.947,164711.588,166629.676,0.148,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,244.498,244.498,165352.378,167277.860,0.149,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,235.985,235.985,165330.199,167248.245,0.144,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,237.963,237.963,166831.036,168750.045,0.145,1,1,1,0,0
size-scaling-k75-c300-n25000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,240.106,240.106,165021.750,166943.399,0.146,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,188.776,188.776,21717.530,23690.062,0.152,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,195.026,195.026,21746.497,23676.762,0.151,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,189.703,189.703,21744.032,23717.248,0.163,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,188.206,188.206,21676.797,23649.166,0.152,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,189.362,189.362,21651.575,23624.902,0.179,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,188.962,188.962,21672.825,23645.174,0.150,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,191.978,191.978,21679.792,23656.675,0.150,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,188.851,188.851,21635.117,23607.884,0.152,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,201.538,201.538,21605.677,23591.040,0.154,1,1,1,0,0
size-scaling-k75-c300-n3000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,194.591,194.591,21702.456,23629.870,0.154,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r0,merkle,225.899,225.899,206993.391,208959.500,0.165,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r1,merkle,241.924,241.924,197522.066,199452.489,0.147,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r2,merkle,225.044,225.044,200844.537,202808.667,0.159,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r3,merkle,240.365,240.365,198125.315,200054.101,0.146,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r4,merkle,241.245,241.245,197883.584,199813.065,0.146,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r5,merkle,241.768,241.768,197591.978,199522.606,0.160,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r6,merkle,260.858,260.858,197925.695,199875.474,0.146,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r7,merkle,248.419,248.419,199482.961,201420.037,0.145,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r8,merkle,238.893,238.893,203501.684,205430.058,0.146,1,1,1,0,0
size-scaling-k75-c300-n30000000-f32-k75-c300-fanout_f32_l16-merkle-r9,merkle,241.993,241.993,197737.654,199667.636,0.164,1,1,1,0,0
