mode,workload,threads,runs,pass_rate_merkle_verify,mean_wall_time_s,mean_workload_overall_ms,mean_workload_wait_ms,mean_duplicate_key_errors,mean_retries_total,mean_serialization_retries,mean_reconnects,mean_permanent_failures,max_retries_total,max_serialization_retries,max_reconnects,max_permanent_failures
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,60,3,1.000,5.743665,4002.856,3.172,0.000,239.333,1.000,238.333,0.000,245,2,243,0
nondet,ycsb-skew0-99-tx-20k-point-safedb-intkey-insert12k-uniq.txt,64,3,1.000,5.740892,4004.069,2.743,0.000,240.667,1.667,239.000,0.000,245,4,241,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,1,3,1.000,27.939801,26213.447,17318.980,0.000,0.000,0.000,0.000,0.000,0,0,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,4,3,1.000,8.314323,6588.726,17163.863,0.000,0.000,0.000,0.000,0.000,0,0,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,8,3,1.000,5.488270,3753.984,4978.342,1.667,0.000,0.000,0.000,0.000,0,0,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,12,3,1.000,5.330899,3598.322,580.870,0.333,0.333,0.333,0.000,0.000,1,1,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,16,3,1.000,5.277934,3537.316,210.514,1.000,0.000,0.000,0.000,0.000,0,0,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,20,3,1.000,5.351146,3612.191,326.653,4.667,2.000,2.000,0.000,0.000,6,6,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,24,3,1.000,5.306060,3568.351,35.633,3.333,0.000,0.000,0.000,0.000,0,0,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,28,3,1.000,5.452418,3712.866,5.716,2.333,0.000,0.000,0.000,0.000,0,0,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,32,3,1.000,5.481202,3739.141,64.552,5.000,1.333,1.333,0.000,0.000,3,3,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,36,3,1.000,5.469187,3734.054,11.476,3.667,0.000,0.000,0.000,0.000,0,0,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,40,3,1.000,5.497721,3761.155,13.014,4.667,1.333,1.333,0.000,0.000,4,4,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,44,3,1.000,5.531800,3794.039,10.542,2.333,0.333,0.333,0.000,0.000,1,1,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,48,3,1.000,5.530794,3794.817,8.116,1.000,0.333,0.333,0.000,0.000,1,1,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,52,3,1.000,5.552203,3816.487,7.333,2.667,0.667,0.667,0.000,0.000,2,2,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,56,3,1.000,5.564421,3827.712,6.129,3.000,0.000,0.000,0.000,0.000,0,0,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,60,3,1.000,5.583158,3847.388,6.130,2.000,0.000,0.000,0.000,0.000,0,0,0,0
nondet,ycsbtx-skew-01-24k-pt-intkey-sid-clean-20k.txt,64,3,1.000,5.591426,3857.122,7.239,3.000,0.333,0.333,0.000,0.000,1,1,0,0
