tx_idx,latency_ms
868,416.4835
869,416.4842
870,416.4846
871,416.4849
872,416.4860
873,416.4864
874,416.4871
875,416.4875
876,416.4878
877,416.4885
878,416.4889
879,416.4896
880,416.4904
881,416.4911
882,416.4915
883,416.4918
884,416.4925
885,416.4929
886,416.4936
887,416.4940
888,416.4944
889,416.4951
890,416.4955
891,416.4958
892,416.4962
893,416.4965
894,416.4969
895,416.4976
896,416.4980
897,416.4987
898,416.4997
899,416.5000
900,416.5004
901,416.5007
902,416.5015
903,416.5018
904,416.5025
905,416.5030
906,416.5037
907,416.5045
908,416.5048
909,416.5055
910,416.5063
911,416.5066
912,416.5073
913,416.5082
914,416.5097
915,416.5100
916,416.5107
917,416.5111
918,416.5115
919,416.5122
920,416.5126
921,416.5130
922,416.5133
923,416.5141
924,416.5148
925,416.5155
926,416.5159
927,416.5163
928,416.5171
929,416.5179
930,416.5183
931,416.5187
932,416.5190
933,416.5197
934,416.5201
935,416.5208
936,416.5215
937,416.5224
938,416.5227
939,416.5234
940,416.5238
941,416.5242
942,416.5249
943,416.5256
944,416.5260
945,416.5267
946,416.5272
947,416.5279
948,416.5283
949,416.5290
950,416.5297
951,416.5304
952,416.5313
953,416.5316
954,416.5324
955,416.5331
956,416.5338
957,418.2692
958,418.2704
959,418.2712
960,418.2716
961,418.2724
962,418.2728
963,421.7392
964,421.7400
965,421.7412
966,421.7422
967,421.7427
968,421.7432
969,421.7441
970,425.2060
971,425.2069
972,425.2075
973,425.2084
974,425.2089
975,425.2095
976,425.2105
977,425.2114
978,425.2119
979,425.2125
980,428.0977
981,428.0986
982,428.0997
983,428.1006
984,428.1016
985,428.1020
986,428.1025
987,428.1030
988,428.1035
989,428.1040
990,428.1049
991,431.3828
992,431.3837
993,431.3847
994,431.3852
995,431.3862
996,431.3867
997,431.3876
998,431.3886
999,431.3892
1000,435.4339
1001,435.4350
1002,435.4357
1003,435.4370
1004,435.4376
1005,435.4388
1006,435.4402
1007,435.4413
1008,437.9398
1009,437.9412
1010,437.9418
1011,437.9427
1012,437.9437
1013,437.9446
1014,437.9451
1015,437.9456
1016,437.9461
1017,437.9466
1018,441.6083
1019,441.6091
1020,441.6097
1021,441.6107
1022,441.6112
1023,441.6123
1024,440.9612
1025,440.9622
1026,440.9628
1027,440.9634
1028,443.9481
1029,443.9497
1030,443.9508
1031,443.9524
1032,443.9529
1033,443.9539
1034,443.9544
1035,443.9548
1036,451.2263
1037,451.2278
1038,451.2290
1039,451.2299
1040,451.2311
1041,451.2316
1042,454.4806
1043,454.4820
1044,454.4826
1045,454.4836
1046,454.4841
1047,454.4850
1048,454.4855
1049,454.4864
1050,458.5423
1051,458.5431
1052,458.5438
1053,458.5444
1054,458.5448
1055,458.5458
1056,458.5468
1057,458.5473
1058,458.5478
1059,458.5487
1060,461.4842
1061,461.4856
1062,461.4866
1063,461.4876
1064,461.4886
1065,464.7960
1066,464.7969
1067,464.7975
1068,464.7985
1069,464.7995
1070,464.8007
1071,464.8016
1072,468.1971
1073,468.1985
1074,468.1991
1075,468.1997
1076,468.2004
1077,468.2009
1078,468.2019
1079,468.2025
1080,468.2029
1081,468.2039
1082,468.2048
1083,471.5152
1084,471.5166
1085,471.5176
1086,471.5185
1087,471.5195
1088,471.5206
1089,474.5032
1090,474.5046
1091,474.5053
1092,474.5063
1093,474.5068
1094,474.5077
1095,474.5087
1096,474.5092
1097,477.6947
1098,477.6961
1099,477.6966
1100,477.6982
1101,477.6993
1102,477.7000
1103,477.7005
1104,477.7015
1105,477.7021
1106,480.9635
1107,480.9644
1108,480.9650
1109,480.9657
1110,480.9667
