run_id,manifest_sha256,method,phase,ms
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,targeted_post_repair_confirmation_ms,1.653
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,recovery_orchestration_ms,1.349
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_exact_table_compare_ms,35346.965
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_merkle_root_hash_ms,1.288
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_merkle_verify_ms,30283.413
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_schema_fidelity_ms,2.198
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r4,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,merkle_total_ms,65780.161
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,tree_localisation_ms,106.224
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,candidate_row_fetch_ms,7.542
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,row_comparison_ms,0.218
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_sql_building_ms,0.228
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_dml_wire_ms,7.213
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_commit_wire_ms,6.551
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_begin_wire_ms,0.058
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_transaction_block_ms,14.073
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,repair_write_ms,14.075
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,targeted_post_repair_confirmation_ms,1.670
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,recovery_observability_ms,0.001
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,recovery_orchestration_ms,1.382
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_exact_table_compare_ms,35581.877
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_merkle_root_hash_ms,1.335
size-scaling-k75-c300-n10000000-f32-k75-c300-fanout_f32_l16-merkle-r5,f2c7308f86f520461e87d961f71f6fc2b17ab57ee450b5fd0831ad946e38c05d,merkle,audit_merkle_verify_ms,30690.591
